,Time,Tweet,User,Location,Retweets,Likes
65,2022-11-23 21:52:10+00:00,@ReverendWarnock That didn’t stop people from voting for John fetterman who is truly not ready…you’re reaching here rev…,AcetoJohn,,0,0
66,2022-11-23 21:51:11+00:00,"Me, after waking up to find out vegetable John Fetterman won the election. https://t.co/KQBNVFeQtY",ChapsHarrys,The Villas at Kenny’s House,2,10
67,2022-11-23 21:49:32+00:00,@dril @SharkLivesMattr Woah. Just had another John Fetterman dream. This time he was coherent.,rangerjea,"El Paso, Tx",0,0
68,2022-11-23 21:48:23+00:00,"@staceyrosey22 @ProjectLincoln John Fetterman had a stroke, what’s Walker’s excuse?",NanaFaheys,,0,1
69,2022-11-23 21:45:54+00:00,RT @RussOnPolitics: @atrupar Truly sad that Herschel Walker cannot appear on live television without the support of two sitting senators at…,kish_alice,,56,0
70,2022-11-23 21:41:49+00:00,@nathaliejacoby1 John Fetterman! Or President Biden,dave_hollick,"Pennsylvania, USA",0,0
71,2022-11-23 21:41:32+00:00,"RT @NEWSMAX: ""The right wing hates women,"" says Gisele Barreto Fetterman https://t.co/7GaEeApj6u",avgusergirl,North America and Europe ,162,0
72,2022-11-23 21:40:08+00:00,"'My name is Joe Biden. I cheered when John Fetterman won the Senate seat from Pennsylvania for two reasons: he’s another Democrat rubber-stamp vote, and he makes me sound lucid.' 

https://t.co/2O3rHuzN5Z",HumanEvents,"Washington, DC",3,23
73,2022-11-23 21:39:39+00:00,@GovernorTomWolf No thanks to John Fetterman,BuckJackson93,"Pennsylvania, USA",0,13
74,2022-11-23 21:34:11+00:00,@JDCocchiarella Everyday I question how could Pennsylvania elect John Fetterman to the SENATE,MarkCrowne,"New Jersey, USA",0,2
75,2022-11-23 21:33:50+00:00,@nathaliejacoby1 John Fetterman 🤩,FollowingForFu2,NC VA & Sometimes Germany,0,1
76,2022-11-23 21:33:25+00:00,"@Greg94301913 @carzol @brixwe I am in awe of your raw genius, and your obvious intellectual horsepower. You’re practically John Fetterman.",lameduckbiden,,0,0
77,2022-11-23 21:32:40+00:00,RT @JoanCWilliams: Fetterman did what has long been considered impossible. Masculinity is a hugely potent force in American politics. It’s…,zkim229,,12,0
78,2022-11-23 21:32:30+00:00,"RT @OccupyDemocrats: BREAKING: Gisele Barreto Fetterman, wife of Senator-elect John Fetterman, shreds Republicans for criticizing her suppo…",JeriHinrichs,"middle of nowhere, USA",5742,0
79,2022-11-23 21:31:26+00:00,brasso's new name is john fetterman i don't make the rules,lightwoven,"Seattle, WA",0,3
80,2022-11-23 21:29:26+00:00,@nathaliejacoby1 John Fetterman. Mostly I just want us to share pics of our doggos lol,VikingWoolly,,0,0
81,2022-11-23 21:24:53+00:00,@ProgFlipPAWI @Vulst2 Famous Us representative John fetterman,BLUEDOGDEM7,Parts Unknown,0,0
82,2022-11-23 21:24:17+00:00,"RT @EricMGarcia: @MittRomney Want to burnish your image as a vanguard of the working class, but you went to an Ivy League? John Fetterman w…",JonMIPol,The Silly Zone,2,0
83,2022-11-23 21:23:23+00:00,@dcexaminer The state that brought you John and Gisele Fetterman 🤣.,rca21978,USA,0,0
84,2022-11-23 21:22:28+00:00,@MRobinsonStan @GaModerate Breaking news John Fetterman moves to new jersey https://t.co/CWS9edSn2l,populist_paul,,0,2
85,2022-11-23 21:21:31+00:00,@_Misbehaving_ @andy_p_1989 @mmpadellan Reread my tweet. That wasn’t a typo. I know all about John Fetterman because I’m not a stupid fuck who doesn’t do research.,FerniePurple,,0,0
86,2022-11-23 21:18:47+00:00,@janecoaston @kenklippenstein :::Democratic party scrambles to find a centrist shaped like John Fetterman:::,SledgeJohns,the woods,0,0
87,2022-11-23 21:15:44+00:00,"Above all, it's difficult to believe that anyone in their right mind would willingly vote for Katie Hobbs or John Fetterman.",Counter__Space,,1,1
88,2022-11-23 21:15:28+00:00,@EricMGarcia @MittRomney These all put John Edwards and his 240 dollar haircut to shame... (although for Fetterman that may be irrelevant),ifollowonlyos,,0,1
89,2022-11-23 21:07:57+00:00,@nathaliejacoby1 John Fetterman.,MelissaMahler50,"Williamsport, PA",0,0
90,2022-11-23 21:06:51+00:00,@TimRunsHisMouth John Fetterman,BOberhausen,,0,0
91,2022-11-23 21:06:39+00:00,@Medcoin @samjcil @ReverendWarnock @HerschelWalker Yet John Fetterman and Joe Biden are qualified even though John can't remember shit because of his stroke and Joe has dementia. The standard you all are trying to set is laughable because you have no standards when it comes to democrat representatives,blueforce2021,,0,0
92,2022-11-23 21:05:43+00:00,"@MittRomney Want to burnish your image as a vanguard of the working class, but you went to an Ivy League? John Fetterman went to Harvard and Sherrod Brown went to Yale. But their respective rumpled aesthetics are part of their appeal.
https://t.co/NuAhyRckkG https://t.co/TsmRi84OtS",EricMGarcia,"Washington, DC",2,7
93,2022-11-23 21:04:38+00:00,@mjguitars8 @ReverendWarnock Yet John Fetterman and Joe Biden are qualified but exhibit the same mental decline as Mr Walker?,blueforce2021,,0,0
94,2022-11-23 21:04:11+00:00,@BrentSpiner Ask John Fetterman voters.,wineovore,Southern California,0,0
95,2022-11-23 21:03:36+00:00,"@nathaliejacoby1 John Fetterman, the Betterman! 
.@LeviFetterman",Kaos_Vs_Control,,0,5
96,2022-11-23 21:00:10+00:00,"RT @NEWSMAX: ""The right wing hates women,"" says Gisele Barreto Fetterman https://t.co/7GaEeApj6u",HeinsohnDebra1,,162,0
97,2022-11-23 20:59:15+00:00,"@nathaliejacoby1 Joe Biden, Barack Obama, Nancy Pelosi, Adam Schiff, AOC, Ilhan Omar, Rashida talib, Stacy Abrams, Gretchen Whitmer, Eric Swalwell, HRC, Sir John Fetterman, Kamala Harris, Beto O’Rourke, Chuck Schumer, Elizabeth Warren",RileySamson0,"San Francisco, CA",0,0
98,2022-11-23 20:59:09+00:00,"Making fun of John Fetterman's verbal blunders is disgusting and able-ist. Making fun of Herschel Walker's speech impediment is hilarious fun when you're a Democrat: 
https://t.co/raLxJ5zXaD",Barry_O_Mansion,"Osaka, Japan",0,1
99,2022-11-23 20:59:08+00:00,@nathaliejacoby1 John fetterman,JPapamorris075,Florida,0,0
